STARTING_STATS
Profession,Name ,Age ,Beard_Length ,Beer ,Sex ,Status ,Vital 
MINER,Marmyl,139.0,22.0,1150,FEMALE,SOBER,ALIVE
MINER,Okri,55.0,41.0,5109,MALE,SOBER,ALIVE
MINER,Thorgrim,120.0,44.0,2889,MALE,SOBER,ALIVE
MINER,Bardin,120.0,42.0,2656,MALE,SOBER,ALIVE
MINER,Thorgrim,245.0,17.0,4460,MALE,SOBER,ALIVE
MINER,Grilrigg,219.0,44.0,3369,FEMALE,SOBER,ALIVE
MINER,Tymor,222.0,16.0,1359,FEMALE,SOBER,ALIVE
MINER,Brylwaen,205.0,44.0,3276,FEMALE,SOBER,ALIVE
MINER,Tyshnys,131.0,28.0,1251,FEMALE,SOBER,ALIVE
MINER,Kili,189.0,32.0,1311,MALE,SOBER,ALIVE
MINER,Kili,74.0,35.0,1613,MALE,SOBER,ALIVE
MINER,Fargrim,116.0,30.0,4817,MALE,SOBER,ALIVE
MINER,Brylwaen,235.0,22.0,5539,FEMALE,SOBER,ALIVE
MINER,Fargrim,183.0,20.0,2917,MALE,SOBER,ALIVE
MINER,Daerkom,220.0,39.0,1471,FEMALE,SOBER,ALIVE
MINER,Gimli,113.0,40.0,3071,MALE,SOBER,ALIVE
MINER,Gimkum,157.0,40.0,708,FEMALE,SOBER,ALIVE
MINER,Brylwaen,233.0,39.0,3215,FEMALE,SOBER,ALIVE
MINER,Gemnera,78.0,37.0,1973,FEMALE,SOBER,ALIVE
MINER,Fargrim,86.0,38.0,2548,MALE,SOBER,ALIVE
MINER,Lutraelin,156.0,23.0,1814,FEMALE,SOBER,ALIVE
MINER,Fargrim,161.0,33.0,1185,MALE,SOBER,ALIVE
INNOVATOR,Oin,109.0,39.0,4110,MALE,SOBER,ALIVE
INNOVATOR,Tyshnys,75.0,36.0,5415,FEMALE,SOBER,ALIVE
INNOVATOR,Okri,116.0,28.0,3766,MALE,SOBER,ALIVE
INNOVATOR,Hargurn,236.0,33.0,2391,FEMALE,SOBER,ALIVE
INNKEEPER,Dwosteada,62.0,33.0,5665,FEMALE,SOBER,ALIVE
INNKEEPER,Thorgrim,73.0,36.0,4953,MALE,SOBER,ALIVE
INNKEEPER,Kili,95.0,42.0,5504,MALE,SOBER,ALIVE
INNKEEPER,Daerkom,202.0,38.0,3673,FEMALE,SOBER,ALIVE
INNKEEPER,Tymor,215.0,21.0,3144,FEMALE,SOBER,ALIVE
INNKEEPER,Gimli,79.0,27.0,1790,MALE,SOBER,ALIVE
ENDING_STATS
Profession,Name ,Age ,Beard_Length ,Beer ,Sex ,Status ,Vital 
DWARF,Fargrim,15.870066,30.70008,507,MALE,SOBER,ALIVE
DWARF,Grilrigg,43.86952,34.700047,385,FEMALE,SOBER,ALIVE
DWARF,Thorin,8.870066,29.700077,205,MALE,SOBER,ALIVE
DWARF,Kili,8.870066,35.70003,341,MALE,SOBER,ALIVE
DWARF,Bardin,5.870042,41.699924,198,MALE,SOBER,ALIVE
DWARF,Kardan,49.86952,45.69985,207,FEMALE,SOBER,ALIVE
DWARF,Rafgrim,8.870066,37.7,66,MALE,SOBER,ALIVE
DWARF,Oin,13.870066,43.699886,57,MALE,SOBER,ALIVE
DWARF,Baldin,38.86952,33.70006,299,MALE,SOBER,ALIVE
DWARF,Gimli,34.86952,41.699924,192,MALE,SOBER,ALIVE
DWARF,Baldin,8.870066,28.700073,301,MALE,SOBER,ALIVE
DWARF,Gimkum,6.8700657,43.699886,493,FEMALE,SOBER,ALIVE
DWARF,Hargurn,45.86952,36.70002,79,FEMALE,SOBER,ALIVE
DWARF,Daerkom,19.870066,32.700077,236,FEMALE,SOBER,ALIVE
ELDER,Rafgrim,306.8728,96.69956,7410,MALE,SOBER,ALIVE
ELDER,Lutraelin,346.8728,97.69956,7516,FEMALE,SOBER,ALIVE
ELDER,Gimli,279.8728,59.69958,7313,MALE,SOBER,ALIVE
ELDER,Grilrigg,339.8728,83.69956,7055,FEMALE,SOBER,ALIVE
ELDER,Kardan,307.8728,61.699562,7662,FEMALE,SOBER,ALIVE
ELDER,Daerkom,341.8728,60.699562,7193,FEMALE,SOBER,ALIVE
ELDER,Charbek,328.8728,87.69956,7927,MALE,SOBER,ALIVE
ELDER,Gimli,304.8728,71.69956,7551,MALE,SOBER,ALIVE
ELDER,Fargrim,256.86975,115.69956,7283,MALE,SOBER,ALIVE
ELDER,Gemnera,264.8728,115.69956,7061,FEMALE,SOBER,ALIVE
ELDER,Okri,264.8728,116.69956,7028,MALE,SOBER,ALIVE
MINER,Kardan,86.11024,31.100042,3407,FEMALE,SOBER,DEAD
MINER,Gemnera,70.27006,23.70001,2181,FEMALE,SOBER,DEAD
MINER,Okri,76.08002,27.800003,2214,MALE,SOBER,DEAD
MINER,Oin,174.45975,41.59993,3169,MALE,SOBER,DEAD
MINER,Okri,83.120026,22.200005,1178,MALE,SOBER,DEAD
MINER,Tyshnys,182.57968,26.800022,2524,FEMALE,SOBER,DEAD
MINER,Tyshnys,236.17935,31.800045,4116,FEMALE,SOBER,DEAD
MINER,Tyshnys,177.03998,44.399994,1058,FEMALE,SOBER,DEAD
MINER,Dwosteada,114.160034,37.599976,2122,FEMALE,SOBER,DEAD
MINER,Kili,117.97021,51.699852,4489,MALE,SOBER,DEAD
MINER,Thorin,171.86842,52.699715,2203,MALE,DRUNK,ALIVE
MINER,Rafgrim,212.37979,38.799942,810,MALE,SOBER,DEAD
MINER,Marmyl,140.0994,33.000023,1152,FEMALE,SOBER,DEAD
MINER,Okri,55.399933,44.99994,5109,MALE,SOBER,DEAD
MINER,Thorgrim,120.64014,50.399902,2891,MALE,SOBER,DEAD
MINER,Bardin,120.39008,45.89994,2656,MALE,SOBER,DEAD
MINER,Thorgrim,245.05997,17.600002,4462,MALE,SOBER,DEAD
MINER,Grilrigg,219.58968,49.89991,3373,FEMALE,SOBER,DEAD
MINER,Tymor,222.26985,18.70001,1362,FEMALE,SOBER,DEAD
MINER,Brylwaen,205.20988,46.099968,3276,FEMALE,SOBER,DEAD
MINER,Tyshnys,131.7296,35.299965,1255,FEMALE,SOBER,DEAD
MINER,Kili,189.33981,35.39995,1313,MALE,SOBER,DEAD
MINER,Kili,75.430305,49.29978,1618,MALE,SOBER,DEAD
MINER,Fargrim,116.85018,38.49991,4821,MALE,SOBER,DEAD
MINER,Brylwaen,235.59967,28.000023,5542,FEMALE,SOBER,DEAD
MINER,Fargrim,183.07996,20.800003,2918,MALE,SOBER,DEAD
MINER,Daerkom,221.29929,51.9998,1476,FEMALE,SOBER,DEAD
MINER,Gimli,113.08002,40.799988,3071,MALE,SOBER,DEAD
MINER,Gimkum,158.21933,52.199814,712,FEMALE,SOBER,DEAD
MINER,Brylwaen,233.74959,46.499886,3221,FEMALE,SOBER,DEAD
MINER,Gemnera,78.020004,37.199997,1973,FEMALE,SOBER,DEAD
MINER,Fargrim,88.72058,65.199585,2561,MALE,SOBER,DEAD
MINER,Lutraelin,156.29984,26.000011,1814,FEMALE,SOBER,DEAD
MINER,Fargrim,162.39923,46.999786,1192,MALE,SOBER,DEAD
INNOVATOR,Oin,109.27006,41.69996,4111,MALE,SOBER,DEAD
INNOVATOR,Tyshnys,75.13003,37.29998,5416,FEMALE,SOBER,DEAD
INNOVATOR,Okri,116.10002,29.000004,3767,MALE,SOBER,DEAD
INNOVATOR,Hargurn,237.13937,44.399826,2397,FEMALE,SOBER,DEAD
INNKEEPER,Dwosteada,64.86985,61.699562,5676,FEMALE,SOBER,ALIVE
INNKEEPER,Thorgrim,75.87061,64.69956,4972,MALE,SOBER,ALIVE
INNKEEPER,Kili,97.87061,70.69956,5516,MALE,SOBER,ALIVE
INNKEEPER,Daerkom,204.86842,66.69956,3690,FEMALE,SOBER,ALIVE
INNKEEPER,Tymor,217.86842,49.69977,3153,FEMALE,SOBER,ALIVE
INNKEEPER,Gimli,81.87061,55.699657,1804,MALE,SOBER,ALIVE
